Country,Year,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,CIS,Var,Value
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcm,0.787325
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_ej,0.0283437
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_ej,0.0020268
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.563
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh_net,0.55737
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,liqcons_kbd,35.37442623
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_ej,0
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh,0
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh_net,0
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_ej,0.072602287
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_kbd,35.37442623
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_mt,1.682
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_crudecond_kbd,904.2
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_kbd,922.495082
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_mt,42.42374811
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_ngl_kbd,18.29508197
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,pop,13.172614
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,refcap_kbd,54.22191781
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,ren_power_ej,0.0020268
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,renewables_ej,0.0020268
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,solar_ej,0
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,tes_ej,0.105275525
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,tes_gj_pc,7.991999538
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,wind_ej,0
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,biogeo_ej,0
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_mtco2,7.592118178
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_pc,0.008959739
